Beskrivelse,CreationDate,Creator,EditDate,Editor,Navn_bekk,Navn_observatør,POINT_X,POINT_Y,Registreringsdato,x,y
naturlig vandringhinder - foss,"januar 7, 2019",fmteiki_fmagol,"januar 7, 2019",fmteiki_fmagol,Herregårdsbekken,Irvin Kilde,,,2019-01-07 00:00:00,"197 813,897","6 565 844,12"
"Foss i gjel, trolig naturlig","oktober 10, 2019",fmteiki_fmagol,"oktober 10, 2019",fmteiki_fmagol,Sembekken,,,,,"192 867,111","6 579 259,209"
Foss,"oktober 10, 2019",fmteiki_fmagol,"oktober 10, 2019",fmteiki_fmagol,Fossjordbekken,,,,,"197 051,039","6 571 064,202"
,"oktober 10, 2019",fmteiki_fmagol,"oktober 10, 2019",fmteiki_fmagol,Lidbekken,,,,,"197 333,429","6 570 051,982"
,"oktober 10, 2019",fmteiki_fmagol,"oktober 10, 2019",fmteiki_fmagol,Aaltvedtbekken,,,,,"196 770,926","6 569 167,562"
Foss,"oktober 25, 2019",fmteiki_fmagol,"oktober 25, 2019",fmteiki_fmagol,Markebobekken,Irvin Kilde,,,,"243 645,045","6 585 229,756"
Røsfossen. Vandringshinder,"desember 15, 2019",,"desember 15, 2019",,Leksa,KJU,,,,"297 549,099","7 039 681,073"
"Sidebekken går inn i myrdrag, mulig oppvekstområde,","desember 22, 2019",Knut Ståle Eriksen,,,Lauvikbekken,,,,,"−14 571,565","6 561 800,705"
Foss 4m,,,,,Kvernviksbekken,,,,,"−24 227,864","6 595 324,421"
"Vandringshinder, naturlig sprang ved gammel mølle, Grunneier oppga aure passerer på riktig vannføringog går opp til hytte oppstrøms",,,,,Ersvikbekken,"Knut Ståle Eriksen, Trond Askildsen",,,2019-12-29 00:00:00,"−19 397,575","6 567 649,414"
Fossestryk og gammel oppdemming,,,,,Bergsvikbekken,Knut Ståle Eriksen,,,2019-12-29 00:00:00,"−15 943,433","6 570 667,903"
"Foss, i trang kløft, mest sannsynlig vandringshinder",,,,,Ballarviga,"Knut Ståle Eriksen, Kjetil Østbø",,,2020-01-04 00:00:00,"−36 216,675","6 586 697,385"
"Fossefall > 10 m bratt terreng, absolutt vandringhsinder",,,,,Ukjent,"Kjetil Østbø, Knut Ståle Eriksen",,,2020-01-04 00:00:00,"−36 570,556","6 588 163,014"
Bratt terreng,,Christian Hagstrøm,,,,,,,,"196 972,531","6 553 199,64"
Naturlig vandringshinder,,,,,Falkumelva/Bliva/Bøelva,Irvin Kilde,,,,"185 465,219","6 587 322,173"
"Omnesfossen, delvis vandringshinder (Merk: radiomerket laks funnet oppstrøms 2021)",,Irvin Kilde,,,Heddøla,Irvin Kilde,,,,"161 489,006","6 623 333,719"
"Bratt, ca. plassering",,,,,Versvikbekken,Irvin Kilde,,,,"194 119,1","6 563 564,072"
Bekkelukking,,,,,Øhrebekken,,,,,"238 473,978","6 574 834,98"
Stor foss 100% vandringshinder,,,,,,,,,,"214 218,483","6 553 937,769"
,,,,,Møllebekken,,,,,"214 218,483","6 553 937,769"
"Nilsafossen, blanskurt, bratt berg. Vandringshinder","januar 10, 2020",Pål Tengesdal,,,Oldelva,,,,,"252 823,753","7 090 949,718"
Naturlig vandringshinder,,,,,Hjertåsbekken,,,,,"227 369,718","6 567 672,118"
"Sjøaure observert til hit, info fra Jan Hamre Grunneier",,,,,Ersvikbekken,Knut Ståle Eriksen,,,2020-01-02 00:00:00,"−19 588,076","6 567 725,399"
Vandringshinder bratt terrenfg ( mest sannsynlig full stopp),,,,,Riskaåna,Knut Ståle Eriksen,,,2019-10-20 00:00:00,"−26 306,521","6 567 227,982"
,,,,,,Knut Ståle Eriksen,,,2020-01-25 00:00:00,"−15 604,931","6 571 671,865"
,,,,,,,,,,"270 977,712","7 042 455,669"
,,,,,,,,,,"−55 922,385","6 608 937,643"
,,,,,,,,,,"91 139,382","6 931 169,927"
,,,,,Veia,,,,,"218 252,378","6 632 801,239"
,,,,,,,,,,"213 207,664","6 637 153,591"
,,,,,,,,,,"215 531,505","6 650 735,633"
,,,,,Bingselkva,,,,,"215 531,505","6 650 735,633"
,,,,,Krokstadbekken,,,,,"219 063,648","6 635 954,179"
,,,,,,,,,,"223 806,261","6 635 446,999"
,,,,,Sandakerelva,,,,,"231 168,306","6 635 925,473"
,,,,,Bergfløttbekken,,,,,"232 041,406","6 638 381,737"
,,,,,Asdøla,,,,,"236 980,817","6 646 985,21"
,,,,,Glitra,,,,,"231 927,265","6 645 366,804"
,,,,,Sætreelva,,,,,"247 966,308","6 624 113,743"
,,,,,Grytnesbekken,,,,,"248 764,084","6 623 646,004"
,,,,,,,,,,"237 577,19","6 582 596,073"
,,,,,,,,,,"237 577,19","6 582 596,073"
,,,,,Nærsnesbekken,,,,,"247 435,085","6 632 922,461"
,,,,,Nærsnesbekken Vest,,,,,"247 249,876","6 633 187,045"
,,,,,,,,,,"247 910,45","6 630 046,103"
,,,,,Grønsandbekken,,,,,"252 228,591","6 621 418,526"
,,,,,,,,,,"252 228,591","6 621 417,428"
,,,,,Sundbybekken,,,,,"252 312,892","6 619 942,396"
,,,,,Elgtonbekken,,,,,"252 513,053","6 615 820,917"
,,,,,,,,,,"242 376,051","6 607 652,751"
,,,,,,,,,,"243 557,703","6 612 543,075"
,,,,,Knivsbekken,,,,,"243 557,703","6 612 543,075"
,,,,,Selvikbekken,,,,,"242 512,253","6 620 500,514"
,,,,,Grimsrudbekken,,,,,"242 792,601","6 625 348,701"
,,,,,,,,,,"241 873,556","6 626 166,027"
,,,,,,,,,,"239 737,445","6 628 990,049"
,,,,,,,,,,"236 864,79","6 630 129,854"
,,,,,,,,,,"236 864,79","6 630 129,854"
,,,,,,,,,,"213 959,732","6 638 495,133"
,,,,,,,,,,"10 912,987","6 644 114,068"
"Vannverksdam, men også naturlig vandringshinder",,Irvin Kilde,,,Rutua,,,,,"197 939,66","6 563 447,571"
Fosser og stryk starter frå flomål.,,,,,,Jarle Lunde,,,2020-10-31 00:00:00,387.847,"6 611 591,027"
Se skjema,,,,,,,,,,206.276,"6 611 601,115"
Naturlig fall fra berg,"november 9, 2020",Sven-Kato Ege,,,Klovningbekken,Sven-Kato Ege,,,2026-11-08 00:00:00,"−39 797,459","6 620 208,967"
,,,,,,,,,,"−35 224,936","6 524 837,828"
,,,,,,,,,,"−35 224,936","6 524 837,828"
myrområde,,,,,dybingen,Arnt Even Tjensvoll,,,,"−35 224,936","6 524 837,828"
,,,,,,,,,,"−40 261,938","6 533 237,882"
Fossefall over berg nær utløp til sjø,"november 12, 2020",Sven-Kato Ege,,,Labbavikbekken,,,,2020-11-12 00:00:00,"−43 367,656","6 612 119,095"
"Naturlig vandringshinder, fossefall",,Irvin Kilde,,,Grønsteinbekken,,,,,"188 781,799","6 582 329,323"
Foss,,Irvin Kilde,,,Ønnabekken,,,,,"197 193,756","6 569 892,313"
Foss,,,,,,Knut Ståle Eriksen,,,,"−19 196,822","6 585 664,02"
Foss,,,,,,Knut Ståle Eriksen,,,,"−19 212,036","6 585 678,241"
Foss/stryk,,,,,,Knut Ståle Eriksen,,,,"−19 290,419","6 585 686,179"
Fossefall - skal endres av forening slik at ørret kan passere,"september 17, 2020",Ole-Håkon Heier,,Ole-Håkon Heier,Strupebekken - Remmenbekken,Ole-Håkon Heier,,,,"291 587,747","6 560 919,314"
Fossefall - skal modifiseres noe av JF-foreningen,"august 12, 2020",Ole-Håkon Heier,,,Slevikbekken - Åsheimenga,,,,,"261 490,782","6 569 573,842"
,,,,,,,,,,"−20 729,755","6 573 614,044"
Vandringshinder,,Jonas Dahl Torp,"april 21, 2021",,,,,,,"252 162,117","6 612 002,528"
Vandringshinder,,,,,,,,,,"245 037,247","6 609 379,153"
Naturlig vandringshinder 200 m oppstrøms hytte,"april 21, 2021",Terje Wivestad - Statsforvalteren i Oslo og Viken,,,Bonnbekken,,,,,"259 072,787","6 627 322,914"
Vandringshinder,,,,,,,,,,"243 122,993","6 609 847,225"
Vandringshinder,,,,,,,,,,"243 174,085","6 621 657,61"
Vandringshinder,,,,,,,,,,"233 613,821","6 628 022,365"
Vandringshinder,,,,,,,,,,"239 253,573","6 622 984,348"
Vandringshinder,,,,,,,,,,"239 862,888","6 616 097,845"
Vandringshinder,,,,,,,,,,"239 392,221","6 614 135,742"
Vandringshinder,,,,,,,,,,"238 776,061","6 609 751,322"
Naturlig vandringshinder opp mot kulvert - mulig det går opp fisk her på høy vannføring,"april 21, 2021",,,Terje Wivestad - Statsforvalteren i Oslo og Viken,Ljanselva,,,,,"264 671,146","6 642 105,659"
Naturlig vandringshinder ved Dronningsfossen. Fiske passasje i kulvert under Engebrets vei,"april 21, 2021",Terje Wivestad - Statsforvalteren i Oslo og Viken,,,Hoffselva,,,,,"258 502,869","6 651 595,955"
,"april 21, 2021",Terje Wivestad - Statsforvalteren i Oslo og Viken,,,Stamnesbekken,,,,,"256 468,881","6 610 141,617"
,"april 21, 2021",Terje Wivestad - Statsforvalteren i Oslo og Viken,,,Stamnesbekken,,,,,"256 871,048","6 609 890,262"
,"april 21, 2021",Terje Wivestad - Statsforvalteren i Oslo og Viken,,,Stamnesbekken,,,,,"257 516,633","6 609 419,303"
Naturlig vandringshinder,"april 21, 2021",Terje Wivestad - Statsforvalteren i Oslo og Viken,,,Emmerstadbekken (Møla),,,,,"255 043,509","6 613 274,853"
,"april 21, 2021",Terje Wivestad - Statsforvalteren i Oslo og Viken,,,Havsjødalsbekken,,,,,"256 054,054","6 628 054,551"
Foss,"april 21, 2021",Terje Wivestad - Statsforvalteren i Oslo og Viken,,,Solvikbekken (Hasla),,,,,"258 798,981","6 633 742,029"
Foss eller stryk,"juni 11, 2021",Kristian Julien,,,Kvamsbekken,Arne Jørgen Kjøsnes,,,,"266 667,494","7 027 875,953"
foss,"august 3, 2021",Jonas Dahl Torp,,,Rustanbekken,,,,,"244 554,022","6 653 346,994"
foss,"august 3, 2021",Jonas Dahl Torp,,,Øverlandelva,,,,,"251 823,403","6 649 497,803"
foss,"august 3, 2021",Jonas Dahl Torp,,,Lomma,,,,,"247 697,43","6 649 963,003"
Bratt,,Irvin Kilde,,,Kokkersvollbekken,Ingar Aasestad,,,,"201 832,317","6 561 637,793"
Fossestryk,,Irvin Kilde,,,Trosbybekken,,,,,"190 357,669","6 547 654,186"
"Foss, vertikal vegg.",,Irvin Kilde,,,Litjennbekken,,,,,"170 513,88","6 537 337,235"
Antatt vandringshinder,,Irvin Kilde,,,Stølebekken/Stavsengbekken,,,,,"175 498,846","6 534 058,87"
Foss,,Irvin Kilde,,,Nystrandbekken/Øvallsbekken,,,,,"196 557,609","6 564 164,301"
Antatt vandringshinder.,,Irvin Kilde,,,Finmarksbekken,,,,,"188 218,85","6 546 394,159"
Bratt,,Irvin Kilde,,,Kjærrabekkenq,,,,,"193 923,526","6 578 051,067"
Bratt stryk,,Sopp Soppesen,,,Soppebekken,,,,,"181 203,157","6 543 417,335"
Naturlig vandringhinder - foss,,Irvin Kilde,,,Numedalslågen,,,,,"217 219,638","6 603 336,587"
"Foss, anadrom stopp",,Irvin Kilde,,,Sagvikbekken,,,,,"182 406,171","6 546 751,538"
Naturlig foss,,Irvin Kilde,,,Fossnesbekken,,,,,"217 403,792","6 602 072,016"
,,,,,Solbergbekken,,,,,"254 941,503","6 616 500,607"
Ur og bekk lagt i rør,,,,,Ølberg 3,Knut Ståle Eriksen,,,2021-12-04 00:00:00,"−42 646,559","6 563 940,858"
"Naturlig foss, permanent vh",,,,,Vigdelvika,Knut Ståle eriksrn,,,2021-12-04 00:00:00,"−43 638,914","6 562 949,247"
"Foss, permanent",,,,,Grannesbekken,Knut Ståle eriksen,,,2021-12-10 00:00:00,"−34 112,159","6 568 897,258"
Naturlig vandringshinder,"november 7, 2021",,,,,Trond Austrheim,,,2021-11-07 00:00:00,"−15 922,248","6 530 428,429"
,,,,,,Trond Austrheim,,,2021-11-07 00:00:00,"−15 907,667","6 531 226,616"
,,,,,Øygardsbekken,Trond Austrheim,,,,"−16 045,339","6 532 392,637"
,,,,,Lurabekken,Trond Austrheim,,,2022-01-09 00:00:00,"−13 159,977","6 533 767,142"
Naturlig vandringshinder,,,,,Hustoftbekken,Trond Austrheim,,,2021-01-08 00:00:00,"−19 838,973","6 527 707,24"
"Vandringshinder, natulig , er en serie med fossefall med vertikalt sprang.",,,,,Askjebekken,Kjetil Østbø,,,2021-04-01 00:00:00,"−28 208,855","6 585 005,142"
Foss 2 m sprang vertikalt,,,,,,Knut Ståle Eriksen,,,,"−9 660,827","6 596 834,754"
,,,,,,,,,,"−22 453,949","6 570 912,65"
,,,,,,,,,,"−22 459,902","6 570 865,686"
"Naturlig sprang, lav vannføring Mest sannsynlig permanent",,,,,Ukjent Kodavågen,Knut Ståle Eriksen,,,2021-12-09 00:00:00,"−34 912,034","6 587 982,521"
,,,,,,Trond Austrheim,,,2022-01-29 00:00:00,"−20 295,837","6 525 745,201"
Vandringsbarriere. Bratt fjellområde med naturlige hindringer,,,,,Kvernbekken (oppstrøms Årdalsbekken),Trond Austrheim,,,2022-01-30 00:00:00,"−14 168,547","6 528 004,83"
Sannsynlig vandringshinder,,,,,kaldebekken,Trond Austrheim,,,,"−16 108,279","6 531 794,569"
Naturlig vandringshinder - permanent,,,"februar 4, 2022",Trine Salvesen Røyneberg,Stemmavatnetbekken,NORCE,,,2021-07-16 00:00:00,"−34 260,574","6 520 224,659"
Temporært vandringshinder - foss,,,,,Stemmavatnetbekken,,,,,"−34 568,649","6 520 143,868"
Vandringshinder - permanent,,,"februar 4, 2022",Trine Salvesen Røyneberg,Rangåa,NORCE,,,2021-07-14 00:00:00,"−19 835,96","6 506 773,365"
Permanent vandringshinder,,,"februar 4, 2022",Trine Salvesen Røyneberg,Stølleviksbekken,NORCE,,,2021-07-14 00:00:00,"−11 153,33","6 499 900,441"
Permanent vandringshinder,,,"februar 4, 2022",Trine Salvesen Røyneberg,Rekedalsbekken,NORCE,,,2021-07-14 00:00:00,"−10 862,288","6 502 036,295"
Permanent vandringshinder,,,"februar 4, 2022",Trine Salvesen Røyneberg,Laksedalsbekken,NORCE,,,2021-07-14 00:00:00,"−5 295,638","6 497 910,004"
Vandringsbarriere (ikke bare hinder) som angir maksimal anadrom strekning (anadrom strekning kan være begrenset lenger nedstrøms),,,,,Intredalsbekken,Trond Austrheim,,,,"−15 555,404","6 528 070,397"
Øvre vandringshinder (sannsynlig barriere),,,,,Åleåna,Trond Austrheim,,,2022-03-05 00:00:00,"−15 336,995","6 527 181,807"
,,,,,,,,,,"−18 020,214","6 533 526,157"
Ender i myr/oppkomme,,,,,Storesvelabekken,Trond Austrheim,,,2022-02-05 00:00:00,"−18 020,214","6 533 526,157"
Vandringsbarriere. Naturlig bratt fossestryk,,,,,Kvernbekken,Trond Austrheim,,,2022-01-30 00:00:00,"−14 232,925","6 528 060,784"
Sannsynlig øvre oppgangshinder/barriere. Egnet for utlegg av gytegrus,,,,,Svelabekken,Trond Austrheim,,,2022-03-05 00:00:00,"−18 212,984","6 532 833,816"
Øvre vandringsbarriere! Fosser med svære blokker. Naturlige vandringshinder,,,,,Rangåni,Trond Austrheim,,,2022-03-27 00:00:00,"−17 185,819","6 524 859,837"
Ur med blokker og stor Stein som gjør vandring vanskelig,,,,,Saglandsbekken,Trond Austrheim,,,2022-03-27 00:00:00,"−18 460,783","6 526 061,379"
"Sannsynlig vandringsbarriere laget av stor stein, røtter og erodert bredd",,,,,Vinninglandbekken,Trond Austrheim,,,2022-04-15 00:00:00,"−19 206,165","6 525 713,12"
Sannsynlig vandringsbarriere. Ingen fisk observert oppstrøms,,,,,Sempermyrbekken,Trond Austrheim,,,2022-04-15 00:00:00,"−20 045,64","6 524 631,303"
Fossestryk,,,,,Liabekken,Trond Austrheim,,,2022-04-17 00:00:00,"−18 796,308","6 529 506,756"
Foss -naturlig vandringshinder,,,,,Liabekken,Trond Austrheim,,,2022-04-17 00:00:00,"−18 488,278","6 530 025,293"
Storeblokker/ur i bratt terreng,,,,,Eikelibekke,Trond Austrheim,,,2022-04-30 00:00:00,"−25 603,39","6 522 789,799"
Stryk med store blokker. Sannsynlig vandringshinder,,,,,Kvednabekken,Trond Austrheim,,,2022-05-22 00:00:00,"−23 737,081","6 521 229,085"
Vandringshinder 2 fossefall ved mølle (kulturminne),,,,,breivikbekken,Knut Ståle Eriksen,,,2022-06-09 00:00:00,"−20 967,55","6 569 664,137"
,,,,,,,,,,"41 773,826","6 482 430,018"
,,,,,Krossmyrbekken - Fossefall,"Mathias Sæstad, Tor Helge Reber",,,2022-10-24 00:00:00,"143 748,454","6 505 546,087"
,,,,,Missisipibekken,Knut Ståle Eriksen,,,2023-01-14 00:00:00,"−34 580,059","6 575 357,982"
Bekken renner over berg med påfølgende fossefall,"mars 12, 2023",Sven-Kato Ege,,,Utløpsbekk fra Grønnestadvatnet,Sven-Kato Ege,,,2022-03-15 00:00:00,"−47 300,951","6 603 565,91"
Absolutt vandringshinder,,,,Trine Salvesen Røyneberg,,Rådgivende Biologer,,,,"−6 068,301","6 499 985,696"
Naturlig vandringshinder,,,,Trine Salvesen Røyneberg,Bekk fra Årstadtjørna,Rådgivende Biologer,,,,"−7 430,041","6 499 084,236"
Absolutt naturlig vandringshinder,,,,Trine Salvesen Røyneberg,Bekk fra Øvre Lauvås,Rådgivende Biologer,,,,"−8 367,661","6 498 401,059"
Absolutt naturlig vandringshinder,,,,Trine Salvesen Røyneberg,Ostervikbekken,Rådgivende Biologer,,,,"−12 481,94","6 498 739,947"
Absolutt naturlig vandringshinder,,,,Trine Salvesen Røyneberg,Nordfjordsbekken,Rådgivende Biologer,,,,"−12 251,752","6 499 539,431"
Absolutt naturlig vandringshinder,,,,Trine Salvesen Røyneberg,Nåvatnsbekken,Rådgivende Biologer,,,,"−13 586,357","6 500 204,418"
Absolutt naturlig vandringshinder,,,,Trine Salvesen Røyneberg,Sørildsbuktbekken,Rådgivende Biologer,,,,"−13 895,038","6 500 409,14"
Naturlig absolutt vandringshinder,,,,Trine Salvesen Røyneberg,Sandenbekken,Rådgivende Biologer,,,,"−14 325,318","6 501 032,952"
Naturlig absolutt vandringshinder,,,,Trine Salvesen Røyneberg,Råtjørnbekken,Rådgivende Biologer,,,,"−15 608,77","6 500 895,589"
Naturlig absolutt vandringshinder,,,,Trine Salvesen Røyneberg,Råtjørnbekken,Rådgivende Biologer,,,,"−15 566,106","6 500 921,385"
Naturlig foss,,,,,Høylandsånå,Trond Austrheim,,,2023-05-19 00:00:00,963.145,"6 535 350,752"
"Foss, naturlig",,Irvin Kilde,,,Nybubekken,"Bjørn Tore Kjølholt og Bjørn Erik Lauritzen, 2022",,,,"173 837,473","6 530 742,503"
Stryk. Oppstrøms stryket går bekken i langt rør under jorde.,,,,,Govollsbekken,Lars Berg Holtan,,,2023-06-05 00:00:00,"61 366,853","6 467 598,258"
"Naturlig anadrom stopp i ""fossene mot Musekollen"". Kilde: M. Riksfjord og A. Aakre.",,Irvin Kilde,,,Gylna,,,,,"211 721,631","6 573 138,131"
Foss,"november 14, 2023",Silje Elvatun Sikveland,,,Henjaelvi,,,,,"63 101,547","6 810 868,238"
Stritt svaberg nede ved utløp. El-fisket stort område oppstrøms uten fangst.,"november 14, 2023",Silje Elvatun Sikveland - SFVL,,,Ytreelva,Silje Elvatun Sikveland,,,2017,"−25 504,777","6 809 487,441"
,"november 14, 2023",Silje Elvatun Sikveland - SFVL,,,Dalelva,Silje Elvatun Sikveland,,,2017,"−25 105,225","6 809 233,569"
,"november 17, 2023",Silje E. Sikveland - SFVL,,,Nordgulelven,Silje E. Sikveland,,,2017,"−28 524,626","6 803 498,249"
Stryk,"november 17, 2023",Silje E. Sikveland - SFVL,,,Elv fra Eidevatnet,Silje E. Sikveland,,,2017,"−29 945,233","6 828 137,419"
Endelig anadromt VH - foss,"november 17, 2023",Silje E. Sikveland - SFVL,,,Elv fra Teigevatnet,,,,2017,"−26 400,038","6 829 372,328"
Foss m/blokk. Absolutt vandringshinder,,,,,Holmabekken,Trond Austrheim,,,2025-05-09 00:00:00,"−10 183,413","6 535 716,123"
Store blokker,,,,,Skulebekken,,,,2024-05-11 00:00:00,"−16 212,978","6 541 755,832"
Hit ville laks/sjøørret ha stoppet om kraftverket på Byafossen ikke hadde begrenset leveområdet.,,Kristian Julien,,,Forneselva,,,,,"340 856,059","7 109 604,137"
"Foss, naturlig vandringhinder","juni 18, 2024",Ole Rugeldal Sandven,,,Nordvikelva,,,,,"−32 508,068","6 716 343,419"
Naturlig vandringshinder,"juni 18, 2024",,,,Breivikabekken,,,,,"−35 784,487","6 716 667,193"
Naturlig vandringshinder,,,,,Steinbekken,,,,,"−35 392,738","6 720 275,456"
Naturlig vandringshinder,"juni 18, 2024",Ole Rugeldal Sandven,,,Steinbekken,,,,,"−35 517,588","6 720 246,682"
"Foss, naturlig vandringshinder. Vassdraget undersøkt av NORCE 2010 og Biota 2023","juni 18, 2024",Ole Rugeldal Sandven,,,Grimseidvassdraget,,,,,"−35 313,122","6 723 207,086"
Sjøørret kan fritt vandre fra sjø til Mildevatnet,"juni 18, 2024",Ole Rugeldal Sandven,,,Vågelva,,,,,"−38 072,02","6 719 353,133"
Naturlig vandringshinder,,Ole Sandven,,,Lønningsbekken,,,,,"−39 033,916","6 722 973,489"
Foss - naturlig vandringshinder,,Ole Sandven,,,Kvernabekken Grimstad,,,,,"−38 990,4","6 726 761,203"
Foss - naturlig vandringshinder,,Ole Sandven,,,Søvikbekken,,,,,"−35 350,388","6 725 323,851"
Foss - naturligvandringshinder,,,,,"Steinsvikbekken, sidebekk",,,,,"−34 901,918","6 724 115,364"
Naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Steinsvikbekken,,,,,"−34 092,292","6 723 731,718"
Foss - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Apeltunvassdragt,,,,,"−32 237,559","6 723 538,572"
Foss - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Apeltunvassdraget,,,,,"−32 085,423","6 723 893,114"
Stryk/foss - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Apeltunvassdraget,,,,,"−32 963,841","6 723 185,352"
Foss/stryk - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Apeltunvassdraget,,,,,"−31 590,651","6 724 162,328"
"Foss - opprinnelig, naturlig vandringshinder","august 7, 2024",Ole Sandven,,,Fjøsangerbekken,,,,,"−30 452,689","6 731 195,172"
Naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Sælenelva,,,,,"−33 971,62","6 730 495,718"
"Opprinnelig naturlig vandringshinder, usikker plassering","august 7, 2024",Ole Sandven,,,Sælenelva,,,,,"−34 626,465","6 730 719,292"
"Opprinnelig, naturlig vandringshinder, usikker plassering","august 7, 2024",Ole Sandven,,,Sælenelva,,,,,"−34 016,599","6 731 096,324"
"Opprinnelig, naturlig vandringshinder, usikker plassering","august 7, 2024",Ole Sandven,,,Sælenelva,,,,,"−33 956,51","6 729 881,953"
Naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Kjerreidbekken,,,,,"−36 485,086","6 730 342,761"
Naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Kjerreidbekken,,,,,"−36 425,554","6 729 960,438"
Foss - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Dalaelven,,,,,"−33 249,455","6 742 408,377"
Foss - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Steinestøbekken,,,,,"−30 665,633","6 748 591,39"
Foss - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Haukåselva,,,,,"−28 623,953","6 744 585,592"
Foss/stryk - naturlig vandringhinder,"august 7, 2024",Ole Sandven,,,Tunesbekken,,,,,"−22 127,593","6 737 777,339"
Foss - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Kvernhuselva Krokeide,,,,,"−35 596,84","6 716 051,685"
Liten vannføring/bekk - naturlig vandringshinder,"august 7, 2024",Ole Sandven,,,Vågsbøbekken,,,,,"−36 880,183","6 722 467,293"
Stryk/høydeforskjell - naturlig vandringshinder,,,,,Damskjersbekken,,,,,"−40 824,249","6 738 304,876"
Foss - naturlig vandringshinder,"august 9, 2024",Ole Sandven,,,Kråkåsbekken,,,,,"−39 372,46","6 738 370,706"
Liten bekk - naturlig vandringshinder,"august 9, 2024",Ole Sandven,,,Kråkåsbekken,,,,,"−39 191,22","6 737 916,945"
Foss - naturlig vandringshinder,"august 9, 2024",Ole Sandven,,,Lonelva,,,,,"−40 126,964","6 741 640,079"
Liten bekk - naturlig vandringshinder,"august 9, 2024",Ole Sandven,,,Angeltveitvassdraget,,,,,"−49 696,216","6 735 872,323"
Liten bekk - naturlig vandringshinder,"august 9, 2024",Ole Sandven,,,Fjellvassdraget,,,,,"−47 311,622","6 731 803,417"
Naturlig vandringshinder,"august 9, 2024",Ole Sandven,,,Apalvågvassdraget,,,,,"−50 003,877","6 734 253,846"
Naturlig vandringshinder - Bekken blitt så liten av fisk ikke kan vandre lengre,"august 12, 2024",Ole Sandven,,,Skogevassdraget,,,,,"−46 179,027","6 718 463,349"
Naturlig vandringshinder - liten og bratt bekk,"august 12, 2024",Ole Sandven,,,Vikaelva,,,,,"−19 105,468","6 707 200,365"
Foss/stryk - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Vikaelva,,,,,"−17 647,611","6 708 095,319"
Naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Aurebekken,,,,,"−29 388,533","6 705 656,355"
Foss/stryk - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Lonaelva,,,,,"−23 911,651","6 712 010,489"
Foss - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Alldalselvi,,,,,"−8 270,578","6 731 780,053"
Foss - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Nordvikelva Samnanger,,,,,"−9 642,256","6 732 913,749"
Foss/styrk - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Reistadelva,,,,,"−9 952,361","6 732 596,716"
Foss/stryk - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Ådlandselva,,,,,"−10 781,922","6 732 156,432"
Foss - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Ådlandselva,,,,,"−11 128,527","6 731 697,379"
Foss - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Nordbøelva,,,,,"−14 792,352","6 731 039,888"
Foss - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Bergsvatnetvassdraget Askøy,,,,,"−42 238,808","6 743 118,328"
Lite vann/foss - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Davangervassdraget,,,,,"−41 420,748","6 744 425,207"
Foss - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Davangervassdraget,,,,,"−41 360,224","6 744 489,534"
Liten bekk - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Fauskangerbekken,,,,,"−46 236,095","6 751 654,573"
Foss - naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Sima,,,,,"72 937,152","6 732 771,353"
Naturlig vandringshinder,"august 12, 2024",Ole Sandven,,,Sima Sopphaugbekken,,,,,"70 338,939","6 732 833,531"
Absolutt vandringshinder,,,,,Idlå -øvre,Trond Austrheim,,,2025-01-19 00:00:00,"−7 568,527","6 536 589,501"
Foss -teoretisk passerbar men i praksis øvre grense for anadrom strekning,,,,,Idlå -øvre,Trond Austrheim,,,2025-01-19 00:00:00,"−7 794,746","6 536 937,429"
,,,,,,,,,,"237 125,905","6 580 076,174"
,,,,,,,,,,"237 030,655","6 579 965,049"
,,,,,,,,,,"237 067,697","6 580 017,966"
,,,,,,,,,,"237 057,113","6 579 996,799"
Delvis vandringshinder,,Irvin Kilde,,,Hjartdøla,,,,,"155 721,902","6 625 007,543"
