Beskrivelse,CreationDate,Creator,EditDate,Editor,Navn_bekk,Navn_observatør,POINT_X,POINT_Y,Registreringsdato,x,y
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sodelandsbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"57 884,025","6 460 472,189"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Hjortelandsbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2016-02-29 00:00:00,"57 227,944","6 458 480,651"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Urdalsbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"58 366,576","6 461 437,266"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Torpsbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"59 640,995","6 462 245,439"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Nedre Bringsdalsbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"61 288,719","6 466 882,662"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Knardalsbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"61 156,4","6 465 575,629"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Gullbekken,"Sjøørretklubben i Mandal, Fylkesmannen i Vest-Agder 2007",,,2007-10-03 00:00:00,"58 619,038","6 464 188,388"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kvednebekken,"Sjøørretklubben i Mandal, Fylkesmannen i Vest-Agder 2007",,,2007-10-03 00:00:00,"58 495,314","6 464 482,523"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Finnsåna,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"61 504,745","6 476 621,537"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Mjålandsbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"61 299,04","6 479 969,54"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Salthaugbukta,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2016-02-29 00:00:00,"23 484,137","6 479 247,754"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Songåna,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"60 433,841","6 477 847,881"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,"Sidebekk, Lågåna S","Fylkesmannen i Vest-Agder, H M Berger 2005",,,2016-02-29 00:00:00,"59 914,226","6 480 684,28"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kosåna,Fylkesmannen i Vest-Agder,,,2007-07-02 00:00:00,"65 481,852","6 501 452,572"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Hessåbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2016-02-29 00:00:00,"61 985,995","6 492 815,417"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Mandalselva,Fylkesmannen i Vest-Agder,,,2007-06-29 00:00:00,"64 359,411","6 500 790,265"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kleplandsbekken,"Audun Abrahamsen, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"77 543,77","6 463 509,44"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sagebekken,"Audun Abrahamsen, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"76 896,1","6 471 097,733"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Songdalselva,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"75 590,713","6 476 716,591"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Dåsåna,"Paal M Kristensen, Lundeelva elveeierlag, FM i V-A.",,,2006-11-13 00:00:00,"71 144,005","6 463 577,439"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Føssa,"Lundeelva elveeierlag, Fylkesmannen i Vest-Agder",,,2006-11-13 00:00:00,"76 097,653","6 462 489,902"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Tangvallbekken,"Lundeelva elveeierlag, Fylkesmannen i Vest-Agder",,,2006-11-13 00:00:00,"76 515,224","6 462 254,654"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kleivsetelva,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"68 821,574","6 462 937,254"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Knibebekken,"Audun Abrahamsen, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"69 793,265","6 461 941,548"
