GA2,ga,Nedstrøms Objekt ID i kart app,Oppstrøms ID,SF 2026 ID,Kommentar,Kulp_nedstrøms,Avstand til kulp,Beskrivelse av kulp,Vanndybde_nedstrøms,Stedsnavn,Vurderin vandringshinder,x,y,OBJECTID,Kommentar.1,Vanndybde_oppstrøms,Innvendig diameter,Innv diam mm,Lengde,Vurdering_vannføring,Vurdering vannhastighet,Stedsnavn.1,Vurdering_oppgangshinder,x.1,y.1,Justert konsekvens,Vurderin vandringshinder.1,identifikasjon_lokalId,kommentar utfyllende,Bilde gruppe,FK kommentar,Regine,NVDB,Dublett,Kom til NVDB,Statsveg/fylkesveg,Vassdrag, Er stikkrenna/kulverten et problem for fiskevandring?,Hva er problemet?,"Diameter (cm) (omtrentlig, noen er anslåelser derom det var vanskelig å komme nærme nok kulverten for å måle)",Kommentar stikkord,OBJ.VEGOBJEKT-ID,VSR.VEGSYSTEMREFERANSE,EGS.BRUKSOMRÅDE.6981,"EGS.DIAMETER, INNVENDIG (MM).3113","EGS.BREDDE, INNVENDIG (MM).4548","EGS.HØYDE, INNVENDIG (MM).4549","EGS.DIAMETER, INNVENDIG (MM).3113.1",EGS.HAR INNLØPSRIST.1923,EGS.LENGDE (M).1323,EGS.MATERIALTYPE.6983,EGS.SPESIELLE PROBLEM.4562,EGS.GJENNOMLØP FOR ELV/BEKK.10223,LOK.GEOMETRI,LOK.TYPEVEG,EGS.TILLEGGSINFORMASJON.10771,LOK.KOMMUNE,EGS.TVERRSNITTSFORM.6984,EGS.TYPE UTLØP.1940,Stikk_bru
357.0,357.0,362,359,,"Kulvert liten, og ikke veldig fin bekk oppstrøms. ",Nei,0,0,0.0,Gjerstad ,Usikker,"503 487,807","6 521 405,315",359.0,0,0.0,40.0,400.0,8.0,Lav,Lav,Gjerstad ,0.0,"503 479,33","6 521 412,155",Partiell,Usikker,018-75-R,0,,,018.2C,84655037,189374,,,"Sunda, bekkefelt",,,,,84655037.0,FV417 S1D1 m2104,Vann,,500.0,600.0,500.0,Nei,5.7909488,Naturstein,,Nei,POINT Z (157384.646 6536624.398 112.279),Enkel bilveg,,Gjerstad,Rektangulær,I bekk/elv,StikkKulv
243.0,243.0,248,249,,"Merkelig bekkeløp nedstrøms. Usikker på om bekk er egnet for fisk. Kulvert isåfall kanskje mulig å passere, usikker",Nei,20,0,15.0,Mandal ,Usikker,"420 106,395","6 448 229,155",249.0,liten men ok,5.0,40.0,400.0,12.0,Lav,Lav,0,0.0,"420 086,633","6 448 257,509",Partiell,Usikker,022-872-R,0,,,022.AA1B,86105611,1450574,,,Eidsåna,,,,,86105611.0,FV3976 S2D1 m5512,Vann,600.0,,,600.0,,11.0,Stål,,,POINT Z (67641.116 6471071.99 152.132),Enkel bilveg,,Lindesnes,Sirkulær,I bekk/elv,StikkKulv
23.0,23.0,27,32,,"Enten så er denne vinklet ellerRedusert vanndybde på grunn av mye slam og sediment i kulverten. Observerte ål/fisk, regner ikke denne for et vandringshinder. Noe tør, og er mulig sediment burde vært gravd ut. ",Nei,0,0,20.0,Ålefjær,Usikker,"440 683,121","6 457 072,739",32.0,"Noe kronglete å skulle vandre gjennom 2 rør forbundet av en kum. Vil være en form for hinder. Men mulig hvis vannføringen er bedre, sett bort ifra at man risikerer høy hastighet. ",0.0,40.0,400.0,17.0,Lav,Lav,Ålefjærr,0.0,"440 641,784","6 457 065,092",Ikke hinder,Usikker,021-851-R,0,,,021.121Z,86132654,27043,,,Ålefjærfjorden bekkefelt,,,,,86132654.0,FV453 S1D1 m1984,Vann,,1200.0,,1200.0,Nei,29.0,Betong,,Ja,POINT Z (88959.179 6478062.36 62.965),Enkel bilveg,,Vennesla,Sirkulær,Åpen grøft,StikkKulv
453.0,453.0,458,454,,"Kan se alle tre utløpende nedstrøms, hvor 2 av disse kan ses igjennom. Tør bekk etter pytt nedstrøms. Ser frosk og rumpetroll nedstrøms. ",Nei,40,0,60.0,Vegårshei ,Nei,"482 121,137","6 508 617,292",454.0,"Stillestående vann. Ser bare en av tre stikkrenner. Den jeg ser ligger litt høyt, men ser gjennom denne. Ser rumpetroll. Gjengrodd bekk oppstrøms. ",30.0,48.0,480.0,10.0,Lav,Lav,0,0.0,"482 115,163","6 508 611,176",Ikke hinder,Nei,019-408-R,0,,,019.C3,84520775,-1611879,,,"Ufsvatn, bekkefelt",,,,,84520775.0,FV3698 S1D1 m4956,Vann,450.0,,,450.0,Nei,7.14826921,Betong,,Nei,POINT Z (134922.254 6525776.715 299.613),Enkel bilveg,,Vegårshei,Sirkulær,I bekk/elv,StikkKulv
410.0,410.0,415,412,,"Denne vil være hinder hvis fisk kommer så langt opp. Er mye slam i stikkrenne, og denne er liten ",Nei,0,0,5.0,Kroken 3602 (''sidebekk'' fra Nidelva),Ja,"477 235,483","6 473 751,313",412.0,"Mer grøft en bekk, usikker på om denne er egnet for fisk, og om disse vil kunne passere stikkrenne. ",5.0,50.0,500.0,15.0,Lav,Lav,Arendal ,0.0,"477 238,337","6 473 728,889",Absolutt,Ja,019-698-R,0,,,019.B1,84434118,-86657,,,Nidelva Furre - Rygene kraftverk bekkefelt,,,,,84434118.0,FV3602 S2D1 m6047,,200.0,,,200.0,,10.0,Plast,,,POINT Z (126936.406 6491419.076 43.628),Enkel bilveg,,Grimstad,,,StikkKulv
515.0,515.0,520,517,,"Setter usikker på hinder på denne, på grunn av lengden. Men grei bekk nedstrøms. Og fisk/ål kommer seg greit til inngang til kulverter ",Nei,0,0,30.0,Mandal ,Usikker,"422 935,606","6 435 092,468",517.0,"God vannføring, og grei bekk oppstrøms. Kulvert ok, mulig litt liten. ",10.0,50.0,500.0,20.0,Middels,Høy,Mandal ,0.0,"422 926,169","6 435 045,735",Partiell,Usikker,022-792-R,0,,,022.226,86109076,dubl,,,Kumlefjorden bekkfelt,,,,,86109076.0,FV3972 S2D1 m3849,Vann,300.0,,,300.0,,6.0,Betong,,,POINT Z (69267.06 6457645.584 6.684),Enkel bilveg,,Kristiansand,Sirkulær,,StikkKulv
36.0,36.0,41,47,,"Sannsynligvis grei å vandre gjennom. Stikkrenna er lav, og vil muligens være under vannstand ved mye vann. Er mye vegetasjon som delvis sperrer kulverten. Sannsynligvis ok for gjennomvandring",Nei,0,0,5.0,Søgne vgs ,Nei,"432 174,103","6 439 283,382",47.0,"Mye vegetasjon, lav vannstand oppstrøms",10.0,50.0,500.0,10.0,Lav,Lav,Søgne vgs ,0.0,"432 173,151","6 439 299,529",Ikke hinder,Nei,022-705-R,0,,,022.1A12,86110906,1830,,,Søgneelva - Brennåsen til utløp,,,,,86110906.0,FV3958 S1D1 m527,Vann,300.0,,,300.0,,6.0,Plast,,,POINT Z (78886.408 6461067.058 3.709),Enkel bilveg,,Kristiansand,Sirkulær,Kum,StikkKulv
277.0,277.0,282,280,,"Usikker på om kulvert ville vært hinder, ved nok vann til å støtte fisk. Sannsynligvis ok. Helt tør bekk nedstrøms og oppstrøms ",Nei,0,0,0.0,Arendal ,Usikker,"498 019,223","6 489 126,211",280.0,"Naturstein i front, helt tør bekk. Usikker på om der noen gang vil være nok vann til å støtte fisk i bekk. Men kulvert ok oppstrøms.",0.0,80.0,800.0,15.0,Lav,Lav,Arendal ,0.0,"497 992,212","6 489 122,294",Partiell,Usikker,Ikke VF,0,,,018.711,84466005,-1644901,,,,,,,,84466005.0,FV3494 S1D1 m5872,Vann,,700.0,700.0,700.0,Nei,33.02508527,Naturstein,,Nei,POINT Z (149028.086 6504911.447 19.006),Enkel bilveg,450 betong i utløp,Arendal,Sirkulær,I bekk/elv,StikkKulv
53.0,53.0,58,63,,"Ikke hinder, fin kulvert, noe lav. Grunneier ønsker bedre drenering før kulvert. ",Nei,0,0,5.0,Mandal 4 ,Nei,"410 922,431","6 434 459,01",63.0,"Ikke hinder, fin kulvert. ",5.0,50.0,500.0,8.0,Lav,Lav,Mandal 4 ,0.0,"410 907,645","6 434 460,492",Ikke hinder,Nei,022-814-R,0,,,022.A6,86189231,1723226,,,Mandalselva - Øyslebø til Mandal,,,,,86189231.0,FV4226 S1D1 m2032,Vann,,400.0,400.0,400.0,,6.0,Naturstein,,,POINT Z (57233.735 6458128.699 2.055),Enkel bilveg,,Lindesnes,Rektangulær,Kum,StikkKulv
6.0,6.0,10,15,,"vann i røret, tørt å oversiden. sannsynligvis ikke vandringshinder. tørt etter RØR",Nei,0,0,0.0,langenesveien,Usikker,"437 561,711","6 441 278,293",15.0,"ikke vann I bekken, mulig vandringshinder avhengig av nedbør ",0.0,50.0,500.0,10.0,Lav,0,langenesveien,0.0,"437 558,111","6 441 283,186",Partiell,Usikker,021-846-R,Ubetydelig bekk?,,,021.23Z,86123354,-65877,,,Kristiansandsfjorden indre bekkefelt,,,,,86123354.0,FV456 S2D1 m907,Vann,450.0,,,450.0,,12.25,Betong,,,POINT Z (84442.677 6462570.924 8.569),Enkel bilveg,,Kristiansand,Sirkulær,I bekk/elv,StikkKulv
376.0,376.0,381,378,,"Veldig stillestående vann, Ser ut som om det har begynt å dannes bekkeløp på siden av veien også. ",Nei,0,0,70.0,Arendal ,Usikker,"490 929,207","6 492 642,903",378.0,Veldig lav vannføring. Kulvert kan være noe tett. Men sannsynligvis står vannet på grunn av problemer nedstrøms ,50.0,100.0,1000.0,8.0,Lav,Lav,Arendal ,0.0,"490 941,091","6 492 648,442",Partiell,Usikker,Ikke VF,0,,,018.7B,ikke i nvdb,,nær 84774803,,,,,,,,,,,,,1000.0,,,,,,,,,,,,
