GA2,ga,Nedstrøms Objekt ID i kart app,Oppstrøms ID,SF 2026 ID,Kommentar,Kulp_nedstrøms,Avstand til kulp,Beskrivelse av kulp,Vanndybde_nedstrøms,Stedsnavn,Vurderin vandringshinder,x,y,OBJECTID,Kommentar.1,Vanndybde_oppstrøms,Innvendig diameter,Innv diam mm,Lengde,Vurdering_vannføring,Vurdering vannhastighet,Stedsnavn.1,Vurdering_oppgangshinder,x.1,y.1,Justert konsekvens,Vurderin vandringshinder.1,identifikasjon_lokalId,kommentar utfyllende,Bilde gruppe,FK kommentar,Regine,NVDB,Dublett,Kom til NVDB,Statsveg/fylkesveg,Vassdrag, Er stikkrenna/kulverten et problem for fiskevandring?,Hva er problemet?,"Diameter (cm) (omtrentlig, noen er anslåelser derom det var vanskelig å komme nærme nok kulverten for å måle)",Kommentar stikkord,OBJ.VEGOBJEKT-ID,VSR.VEGSYSTEMREFERANSE,EGS.BRUKSOMRÅDE.6981,"EGS.DIAMETER, INNVENDIG (MM).3113","EGS.BREDDE, INNVENDIG (MM).4548","EGS.HØYDE, INNVENDIG (MM).4549","EGS.DIAMETER, INNVENDIG (MM).3113.1",EGS.HAR INNLØPSRIST.1923,EGS.LENGDE (M).1323,EGS.MATERIALTYPE.6983,EGS.SPESIELLE PROBLEM.4562,EGS.GJENNOMLØP FOR ELV/BEKK.10223,LOK.GEOMETRI,LOK.TYPEVEG,EGS.TILLEGGSINFORMASJON.10771,LOK.KOMMUNE,EGS.TVERRSNITTSFORM.6984,EGS.TYPE UTLØP.1940,Stikk_bru
329.0,329.0,334,330,,"Veldig stillestående vann, ikke kulvert ikke hinder. Ser noe småfisk ",Nei,0,0,15.0,Froland ,Nei,"480 848,481","6 481 720,785",330.0,"bro lignende kulvert,  fin, tørr",40.0,220.0,2200.0,6.0,Lav,Lav,0,0.0,"480 813,41","6 481 672,245",Ikke hinder,Nei,019-1-R,irrelevant,,,019.A1Z,ikke i nvdb,,,,"Assævannet, bekkefelt",,,,,,,,,,,2200.0,,,,,,,,,,,,
60.0,60.0,65,70,,"Stor fin kulvert, ikke vandringshinder for fisk. Regner med utløp er ved vannspeil ved mer nedbør. ",Nei,10,0,100.0,Mandal Daleveien Urdalen,Nei,"412 320,602","6 437 773,955",70.0,moseddekke i bunn,10.0,230.0,2300.0,10.0,Middels,Lav,Mandal,0.0,"412 301,506","6 437 772,688",Ikke hinder,Nei,022-814-R,bru,,,022.A6,272319068,,,,Mandalselva - Øyslebø til Mandal,,,,,272319068.0,FV4226 S1D1 m5767-5769,,,,,2300.0,,,Stål,,,,Enkel bilveg,,Lindesnes,,"Rør, korrugert (142)",Bru
320.0,320.0,325,321,,"Kulvert stor og fin, noe sølete vann nedstrøms. Og ser ut til at denne kan samle noe kvist som kan bli hinder. Men ok ",Nei,0,0,10.0,Arendal ,Nei,"486 540,272","6 486 146,974",321.0,"Grei kulvert, noe slammete sediment. Men ikke hinder ",20.0,240.0,2400.0,10.0,Middels,Lav,Arendal ,0.0,"486 535,226","6 486 134,363",Ikke hinder,Nei,019-497-R,0,,,019.12Z,ikke i nvdb,,langt oppstrøms 84434268,,"Longumvatnet, bekkefelt",,,,,,,,,,,2400.0,,,,,,,,,,,,
231.0,231.0,236,237,,"Noe gjengrodd nedstrøms, plastkulvert. Sannsynligvis ikke hinder ",Nei,0,0,30.0,Risør ,Nei,"516 864,189","6 512 053,522",237.0,dyp og noe overgrodd,200.0,250.0,2500.0,15.0,Høy,Lav,0,0.0,"516 870,613","6 512 101,283",Ikke hinder,Nei,018-86-R,0,,,018.12,84795285,,,,"Østerfjorden, bekkefelt",,,,,84795285.0,FV351 S1D1 m16492,Vann,1000.0,,,1000.0,Nei,23.0,Stål,,,POINT Z (169877.95 6526105.542 10.691),Enkel bilveg,,Risør,Sirkulær,Kum,StikkKulv
434.0,434.0,439,436,,Noe kvist i bekk nedstrøms. Men sansynligvis ikke hinder. ,Nei,0,0,20.0,Vegårshei ,Nei,"491 819,11","6 509 429,043",436.0,"Noe gjenngrodd bekk oppstrøms, bru ikke hinder ",10.0,250.0,2500.0,15.0,Lav,Lav,Vegårshei ,0.0,"491 831,479","6 509 413,073",Ikke hinder,Nei,018-238-R,0,,,018.E,84664393,-130892,,,Storelva - Hauglandselva bekkefelt,,,,,84664393.0,FV414 S1D1 m5580,Vann,,1500.0,3000.0,1500.0,Nei,14.51295767,Naturstein,,,POINT Z (144677.478 6525713.925 165.423),Enkel bilveg,,Vegårshei,Rektangulær,,StikkKulv
401.0,401.0,406,403,,"Litt usikker på denne, liten vannføring og ser ikke gjennom stikkrenne ",Nei,0,0,20.0,Tvedestrand ,Usikker,"494 231,771","6 489 277,151",403.0,"Ser noe som beveger seg oppstrøms, enten fisk eller frosk. Denne ser grei ut. Mye vegetasjon rundt bekk. ",10.0,100.0,1000.0,12.0,Lav,Lav,Tvedestrand ,0.0,"494 245,987","6 489 284,841",Partiell,Usikker,Ikke VF,0,,,018.71Z,1022439665,937775272,,,,,,,,1022439665.0,FV422 S2D1 m1248,Vann,1000.0,,,1000.0,,12.17,Plast,,Ja,POINT Z (145284.973 6505406.644 15.1),Enkel bilveg,,Arendal,Sirkulær,Åpen grøft,StikkKulv
395.0,395.0,400,397,,"En del vann nedstrøms, bekk ser bra ut. Kulvert ikke hinder ",Nei,0,0,40.0,Tvedestrand ,Nei,"493 660,658","6 492 275,107",397.0,"Liten vannføring gjennom, men er en del vann i bekk. Ser fisk oppstrøms. Kulvert ser ok ut. ",25.0,250.0,2500.0,12.0,Lav,Lav,Tvedestrand,0.0,"493 682,267","6 492 276,616",Ikke hinder,Nei,018-258-R,0,,,018.7AZ,119588592,-902851073,,,Langangselva bekkefelt,,,,,119588592.0,FV422 S1D1 m3396,Vann,1800.0,,,1800.0,,12.0,Stål,,,POINT Z (144985.472 6508439.472 31.167),Enkel bilveg,,Tvedestrand,Sirkulær,I bekk/elv,StikkKulv
487.0,487.0,492,487,,Noe kvist i bekk nedstrøms. Men grei bekk og kulvert ikke hinder. ,Nei,0,0,10.0,Arendal ,Usikker,"478 283,101","6 480 732,964",487.0,Grei vannføring med tanke på hvor tørt det er. Noe landbrukspreget bekk oppstrøms. Men helt grei bekk. Kulvert ser ikke ut som hinder. ,10.0,250.0,2500.0,14.0,Middels,Lav,Arendal ,0.0,"478 299,717","6 480 728,96",Partiell,Usikker,019-694-R,0,,,019.B1,84584869,-35003723,evt nær denne,,Messelbekken,,,,,84584869.0,FV408 S1D1 m7448,Vann,2200.0,,,2200.0,Nei,18.0,Stål,,,POINT Z (128611.989 6498297.536 44.678),Enkel bilveg,,Arendal,Sirkulær,,StikkKulv
185.0,185.0,190,193,,"Fin kulver, ser fisk og er bra bekkeløp. Laget laksetrap i tilleg ",Ja,0,"Flere kulper, kunstig laksetrap støp, med flere bassengers ",30.0,Mandal ,Nei,"412 612,154","6 437 721,751",193.0,"ser fin ut, og mye ulike steinstørrelse i bunn, ser småfisk ",10.0,250.0,2500.0,40.0,Middels,Lav,ny tilførselen e39,0.0,"412 605,185","6 437 682,064",Ikke hinder,Nei,022-815-R,0,,,022.A3Z,1014445665,929860796,,,Mandalselva - Øyslebø til Mandal bekkefelt,,,,,1014445665.0,FV455 S1D1 m5363,Vann,2400.0,,,2400.0,,41.7,Betong,,Ja,POINT Z (59216.31 6461219.685 13.936),Enkel bilveg,,Lindesnes,Sirkulær,I bekk/elv,StikkKulv
88.0,88.0,93,97,,"Denne e fin, litt sandete substrat nedstrøms. ",Nei,0,0,25.0,Grimstad ,Nei,"475 488,591","6 466 183,521",97.0,"Fungerer bra for vandring, fin kantvegetasjon, og greit substrat. Ser fisk oppstrøms. ",45.0,250.0,2500.0,18.0,Høy,Middels,Grimstad ,0.0,"475 495,883","6 466 219,893",Ikke hinder,Nei,019-575-R,0,,,019.216Z,84643817,-929801848,,,"Groosfjorden, bekkefelt",,,,,84643817.0,FV420 S7D1 m5025,Vann,2500.0,,,2500.0,Nei,18.0,Stål,,Ja,POINT Z (124515.481 6484061.885 11.001),Enkel bilveg,,Grimstad,Sirkulær,I bekk/elv,StikkKulv
568.0,568.0,573,571,,Veldig stor kulvert i stål. Med naturlig steinbunn. Denne er ikke hinder. ,Nei,0,0,5.0,Tvedestrand ,Nei,"492 544,996","6 498 653,044",571.0,"fin, noe bratt",30.0,250.0,2500.0,4.0,Middels,Middels,0,0.0,"492 557,123","6 498 630,198",Ikke hinder,Nei,018-33-R,0,,,018.C2Z,84663204,19387,,,Strengselva,,,,,84663204.0,FV415 S1D1 m1039,Vann,,,,2500.0,,,Stål,,,POINT Z (144427.693 6514891.982 28.649),Enkel bilveg,,Tvedestrand,Sirkulær,,StikkKulv
96.0,96.0,101,105,,"Grei kulvert, fisk kan gå igjennom. Er dette anadrom strekning? ",Nei,0,0,90.0,Grimstad ,Nei,"468 302,374","6 472 853,314",105.0,stillestående og dyp elv,50.0,250.0,2500.0,15.0,Middels,Lav,Grimstad ish,0.0,"468 268,796","6 472 843,933",Ikke hinder,Nei,019-583-R,0,,,019.AZ,84697523,34319,,,Storåna (Rjukanfossen - Vrålstadvatnet),,,,,84697523.0,FV404 S3D1 m4391,Vann,,,,2500.0,,,Betong,,,POINT Z (118113.336 6491159.573 143.541),Enkel bilveg,,Grimstad,Sirkulær,,StikkKulv
317.0,317.0,322,318,,"Grei bru, lav vannføring, men ikke hinder. ",Nei,0,0,20.0,Grimstad ,Nei,"470 390,019","6 465 504,7",318.0,"tørraltig, treg, men ok",10.0,250.0,2500.0,8.0,Lav,Lav,0,0.0,"470 393,55","6 465 535,261",Ikke hinder,Nei,019-592-R,bru,,,019.2C,272297830,187600307,,,Dalholtbekken og bekk ved Roklev,,,,,272297830.0,FV3596 S1D1 m4391-4395,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Grimstad,,Platebru (214),Bru
260.0,260.0,265,265,,"Grei kulvert, noe søppel, men ikke hinder ",Nei,0,0,10.0,Søgne ,,"424 752,758","6 440 250,202",265.0,"elv og sto nesten broaktig, fin",35.0,250.0,2500.0,8.0,Høy,Lav,0,0.0,"424 746,322","6 440 268,906",Ikke angitt,,022-779-R,0,,,022.2A,272297922,92,,,Dåsåna,,,,,272297922.0,FV3975 S1D1 m5627-5631,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Kristiansand,,Platebru (210),Bru
169.0,169.0,174,177,,"Avstand opp mot kulvert sannsynligvis lavere. Men er nok hinder for en del fisk, ikke barriere ",,80,0,35.0,0,Usikker,"455 267,708","6 451 293,783",177.0,fin bekk litt bratt ,40.0,250.0,2500.0,15.0,Middels,Middels,0,0.0,"455 228,196","6 451 326,634",Partiell,Usikker,020-406-R,0,,,020.312Z,272298857,935,,,Langebekken,,,,,272298857.0,FV420 S12D1 m1442-1446,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Lillesand,,Platebru (210),Bru
406.0,406.0,411,408,,"Bru ikke hinder, mindre vegetasjon i bekk nedstrøms. Ser greit ut",Nei,0,0,50.0,Grimstad ,Nei,"479 319,102","6 472 079,481",408.0,"Noe stillestående vann, og mye vegetasjon i bekk. Men bru ikke hinder ",50.0,250.0,2500.0,8.0,Lav,Lav,Grimstad ,0.0,"479 315,767","6 472 071,279",Ikke hinder,Nei,019-31-R,bru,,,019.A23Z,272298975,118,,,"Temse, utløpselv",,,,,272298975.0,FV3632 S1D1 m231-236,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Grimstad,,Platebru (211),Bru
405.0,405.0,410,407,,"Fin bru, ikke hinder. Noe stillestående vann. ",Nei,0,0,70.0,Grimstad ,Nei,"479 318,211","6 472 244,459",407.0,Mye vann i bekk/elv men er noe stillestående. Kulvert/bru er ikke hinder. ,70.0,250.0,2500.0,14.0,Middels,Lav,Grimstad ,0.0,"479 305,069","6 472 236,474",Ikke hinder,Nei,019-31-R,bru,,,019.A23Z,272299043,68,,,"Temse, utløpselv",,,,,272299043.0,FV407 S3D1 m1712-1716,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Grimstad,,Platebru (210),Bru
470.0,470.0,475,471,,"Noe gjengrodd bekk, ikke hinder ",Nei,0,0,20.0,Froland ,Nei,"482 373,48","6 488 272,287",471.0,"Usikker på vanndybde, noe gjengrodd bekk. Men ikke hinder. ",0.0,250.0,2500.0,12.0,Lav,Lav,Froland ,0.0,"482 370,232","6 488 289,711",Ikke hinder,Nei,019-690-R,bru,,,019.B31,272299153,110,,,Hurvjeevja,,,,,272299153.0,FV3722 S1D1 m3693-3701,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Froland,,"Rør, korrugert (141)",Bru
404.0,404.0,409,406,,"Ser fin ut nedstrøms, noe høyde mot kulvert, men bør være greit ved mer nedbør. Men kulvert ser ut til å være blokkert av kvist oppstrøms. ",Nei,50,0,50.0,Rykeneveien (Kvennebekken renner ned til Nidelva),Ja,"479 877,8","6 474 382,906",406.0,Blokkert av kvist/demning oppstrøms. Denne kan både være laget av bever eller mennesker. Ellers ok oppstrøms. ,60.0,250.0,2500.0,30.0,Middels,Middels,Arendal,0.0,"479 903,189","6 474 406,864",Absolutt,Ja,019-492-R,bru,,,019.A12Z,272299466,313,,,"Nidelva, Bekkefelt Helle",,,,,272299466.0,FV407 S2D1 m4851-4854,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Arendal,,"Rør, korrugert (142)",Bru
93.0,93.0,98,102,,"Grei kulvert, litt stigning opp mot utløp, men ikke problematisk for annet en ål muligens. ",Ja,40,"Stor kulp 40-50cm dyp. Store rullestein i bunn. Strupes ned lengre nede, så vil være basseng her uansett vannføring ",60.0,Grimstad ,Nei,"471 309,713","6 473 234,095",102.0,"betong i bunn av kulvert, stor og fin",15.0,250.0,2500.0,9.0,Middels,Middels,Grimstad ,0.0,"471 321,254","6 473 269,429",Ikke hinder,Nei,019-477-R,bru,,,019.AZ,272300239,773,,,"Tønnesølvatnet, utløpselv",,,,,272300239.0,FV404 S3D1 m137-140,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Grimstad,,"Rør, korrugert (142)",Bru
226.0,226.0,231,232,,"Denne bør være ok, er hinder lengre opp i bekken i form av demning, noe bratt oppstrøms, men fisk bør kunne passere. Ok ",Nei,0,0,10.0,Tvedestrand ,Nei,"505 709,759","6 500 669,55",232.0,"går i skutt ut fjell ser det ut som, litt bratt",50.0,250.0,2500.0,15.0,Middels,Høy,0,0.0,"505 649,849","6 500 654,29",Ikke hinder,Nei,018-18-R,bru,,,018.5Z,272300311,72,,,Gjevingelva,,,,,272300311.0,FV411 S2D1 m6307-6316,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Tvedestrand,,Platebru (210),Bru
304.0,304.0,309,306,,"Fisk nedstrøms Kulvert helt tør, men ikke hinder ved høyere vannføring. Stor og fint substrat ",Nei,0,0,5.0,Birkenes ,Nei,"455 282,478","6 465 395,314",306.0,"tørr men ok, litt søppel ",0.0,250.0,2500.0,12.0,Lav,Lav,0,0.0,"455 297,918","6 465 406,863",Ikke hinder,Nei,020-422-R,bru,,,020.A7,272300314,3,,,,,,,,272300314.0,FV402 S4D1 m5869-5873,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Birkenes,,Platebru (210),Bru
385.0,385.0,390,387,,"Samme som oppstrøms, kun en av kulvertene fører vann nå. Veldig landbrukspreget bekk. Mye sand inni kulvert. Svært redusert bekk, der det sannsynligvis går beitedyr. ",Nei,0,0,4.0,Tvedestrand ,Usikker,"492 901,991","6 496 195,238",387.0,Disse to registreres sammen. Like store kulverter. Den ene blir blokkert av den av kulvert oppstrøms. Ser ut som at mesteparten av vannet går gjennom en av disse. Veldig landbrukspreget bekk. ,30.0,250.0,2500.0,15.0,Lav,Lav,Tvedestrand ,0.0,"492 884,524","6 496 182,679",Partiell,Usikker,018-33-R,bru,,,018.C2Z,272300317,3,,,Strengselva,,,,,272300317.0,FV421 S5D1 m1356-1359,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Tvedestrand,,"Rør, korrugert (145)",Bru
383.0,383.0,388,385,,Registrerer disse to sammen. Ser ikke ut som hinder. Vann er stillestående og tåkete. Kun god flytt gjennom et av rørene. Det andre er grodd igjen i front. ,Nei,0,0,50.0,Tvedestrand ,Nei,"492 927,916","6 496 609,045",385.0,Lite hastighet i vannet. Bekk ser grei  ut oppstrøms. Tåkete vann. ,40.0,250.0,2500.0,15.0,Lav,Lav,Tvedestrand ,0.0,"492 943,168","6 496 605,284",Ikke hinder,Nei,018-33-R,bru,,,018.C2Z,272300320,3,,,Strengselva,,,,,272300320.0,FV421 S5D1 m935-938,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Tvedestrand,,"Rør, korrugert (145)",Bru
295.0,295.0,300,298,,"Kulvert fin, noe slammete bekk. Men sannsynligvis ok. Ser fisk. ",Nei,0,0,45.0,Birkenes ,Nei,"451 205,431","6 463 240,263",298.0,fin og broaktig,30.0,250.0,2500.0,8.0,Middels,Lav,0,0.0,"451 185,456","6 463 244,966",Ikke hinder,Nei,020-436-R,bru,,,020.A6,272300391,71,,,,,,,,272300391.0,FV3748 S2D1 m4039-4043,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Birkenes,,Platebru (211),Bru
95.0,95.0,100,104,,"Bratt stigning opp mot kulvert, vinkel grei og vegetasjon langs stein. Hinder ikke barriere. Ål kan muligens klatre. Men helt klart hinder. ",Ja,200,Stor kulp med mye stein 70cm dyp ,70.0,Opplandsveien (bekk leder fra Syndle mot Ellingstjenn og Nedre knabbevann),Ja,"469 413,12","6 472 179,669",104.0,ser fisk og kulvert med mose i betong,12.0,250.0,2500.0,12.0,Middels,Middels,Grimstad ,0.0,"469 384,265","6 472 223,459",Absolutt,Ja,019-583-R,bru,,,019.AZ,272300498,107,,,Storåna (Rjukanfossen - Vrålstadvatnet),,,,,272300498.0,FV404 S3D1 m2803-2807,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Grimstad,,"Kulvert, plassp (111)",Bru
292.0,292.0,297,295,,"Kulvert veldig fin, noe små terskler og naturlig elvebunn. Krem sjøaure habitat nedstrøms og oppstrøms. Ser stor Aure nedstrøms ",Nei,0,0,55.0,Kristiansand ,Nei,"451 269,093","6 459 725,131",295.0,meget fin,30.0,250.0,2500.0,10.0,Middels,Lav,0,0.0,"451 239,826","6 459 733,151",Ikke hinder,Nei,020-433-R,bru,,,020.A6,272318896,18398,,,,,,,,272318896.0,FV3748 S1D1 m4266-4269,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Kristiansand,,"Kulvert, plassp (110)",Bru
545.0,545.0,550,545,,Både betongkloss og grein kan være hinder ved lav vannføring. Ellers er denne ok. ,Nei,0,0,15.0,Mandal ,Usikker,"411 933,063","6 430 709,159",545.0,Mulig kvist foran åpning kan være hinder ved lav vannføring. Bru i størrelse. Litt lav vannstand. Men denne er ikke hinder. Grei bekk oppstrøms. ,20.0,250.0,2500.0,10.0,Middels,Middels,Mandal ,0.0,"411 937,695","6 430 714,372",Partiell,Usikker,022-801-R,0,,,022.322,272318943,47,,,Mannefjorden bekkefelt,,,,,272318943.0,FV4232 S1D1 m5541-5544,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Lindesnes,,Plateelem.bru (271),Bru
493.0,493.0,498,493,,"Fin bekk, kulvert ikke hinder ",Nei,0,0,30.0,Mandal ,Nei,"418 793,901","6 443 341,046",493.0,"Gammel bru, ikke hinder. Fin bekk. ",10.0,250.0,2500.0,8.0,Middels,Høy,Mandal ,0.0,"418 784,675","6 443 339,725",Ikke hinder,Nei,022-726-R,bru,,,022.22Z,272318954,11,,,Trysfjorden bekkefelt,,,,,272318954.0,FV3978 S1D1 m3927-3930,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Kristiansand,,Platebru (210),Bru
135.0,135.0,141,143,,"Ikke hinder, bekk fin ut mot sjøen. ",Nei,0,0,30.0,Søm,Nei,"446 948,348","6 442 627,489",143.0,"fin stor betong kulvert, bekk naturlig",50.0,250.0,2500.0,8.0,Lav,Lav,Randesund ,0.0,"446 951,298","6 442 613,557",Ikke hinder,Nei,020-319-R,bru,,,020.4240,272318962,8,,,Østergapet-ytre bekkefelt,,,,,272318962.0,FV496 S1D1 m8828-8833,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Kristiansand,,Platebru (210),Bru
213.0,213.0,218,220,,"Fin kulvert, ikke hinder ",Nei,0,0,15.0,Mandal ,Nei,"417 561,5","6 464 964,323",220.0,"fin kulvert I stål, med belagt betong",25.0,250.0,2500.0,12.0,Middels,Middels,0,0.0,"417 573,338","6 464 970,13",Ikke hinder,Nei,022-650-R,bru,,,022.B1Z,272319003,41,,,Mandalselva - Laudal til Øyslebø bekkefelt,,,,,272319003.0,FV3936 S1D1 m4749-4752,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Kristiansand,,"Rør, korrugert (141)",Bru
61.0,61.0,66,71,,"Ål vil kunne passere den lille høyden mot kulvert. Fin kulvert, ser fisk i kulvert. Ikke hinder. ",Nei,10,0,20.0,Mandal Daleveien Langeland,Nei,"412 457,832","6 438 327,718",71.0,Fin kulvert med fisk,20.0,250.0,2500.0,12.0,Middels,Lav,Mandal,0.0,"412 438,964","6 438 316,909",Ikke hinder,Nei,022-815-R,bru,,,022.A3Z,272319045,42,,,Mandalselva - Øyslebø til Mandal bekkefelt,,,,,272319045.0,FV4226 S1D1 m6354-6358,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Lindesnes,,"Rør, korrugert (142)",Bru
192.0,192.0,197,200,,Kulvert egentlig fin. Men blir begrenset av mye stein nedstrøms. Som muligens vil kunne være hinder hvis det samler seg kvist. Ok for ål og anadrom fisk. Ser grei Aure oppstrøms.,Nei,10,0,25.0,Mandal Daleveien Smeland,Usikker,"413 453,202","6 444 090,187",200.0,"fin bekk og høy nesten bro i stein, så fin size fisk ",5.0,250.0,2500.0,12.0,Middels,Lav,0,0.0,"413 424,799","6 444 093,075",Partiell,Usikker,022-815-R,bru,,,022.A3Z,272319071,26,,,Mandalselva - Øyslebø til Mandal bekkefelt,,,,,272319071.0,FV4226 S1D1 m13187-13189,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Lindesnes,,"Rør, korrugert (142)",Bru
214.0,214.0,219,221,,"Bru i bredde, ikke vandringshinder. Noe gjengroing under bru. Ser fisk nedstrøms ",Nei,0,0,40.0,Mandal ,Nei,"419 787,764","6 463 344,587",221.0,"bro egt, fin og brei",30.0,250.0,2500.0,10.0,Middels,Lav,0,0.0,"419 761,005","6 463 357,912",Ikke hinder,Nei,022-879-R,bru,,,022.AC5,272319077,6,,,Meåna,,,,,272319077.0,FV3940 S1D1 m2636-2642,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Kristiansand,,Platebru (210),Bru
491.0,491.0,496,491,,"God vannføring, fin bekk. Kulvert ikke hinder ",Nei,0,0,40.0,Mandal ,Nei,"418 171,325","6 443 786,362",491.0,Grei vannføring. Metallkulvert med betongbunn. Ser bra ut. ,40.0,250.0,2500.0,10.0,Middels,Lav,Mandal ,0.0,"418 147,153","6 443 793,784",Ikke hinder,Nei,022-726-R,bru,,,022.22Z,272319080,3,,,Trysfjorden bekkefelt,,,,,272319080.0,FV3978 S1D1 m4975-4978,,,,,2500.0,,,Stål,,,,Enkel bilveg,,Kristiansand,,"Rør, korrugert (144)",Bru
215.0,215.0,220,222,,Stor og grei bru. Ikke hinder. Men noe gjengroing nedstrøms ,Nei,0,0,15.0,Mandal ,Nei,"421 345,48","6 459 542,17",222.0,"stillestående, eller fin",20.0,250.0,2500.0,15.0,Middels,Lav,0,0.0,"421 355,021","6 459 563,141",Ikke hinder,Nei,022-879-R,bru,,,022.AC5,376607522,104288442,,,Meåna,,,,,376607522.0,FV461 S2D1 m4193-4197,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Kristiansand,,Platebru (210),Bru
203.0,203.0,208,210,,Kulvert ok. Men bekk oppstrøms er ekstremt bratt og kan ikke vandres opp. ,Nei,0,0,10.0,Mandal ,Usikker,"408 152,785","6 459 891,357",210.0,"bro nesten og fin, tørt,  og meget bratt senere etter kulvert, fin kant vegetasjon vei",10.0,250.0,2500.0,10.0,Middels,Middels,0,0.0,"408 142,434","6 459 921,123",Partiell,Usikker,022-650-R,bru,,,022.B1Z,376607546,24,,,Mandalselva - Laudal til Øyslebø bekkefelt,,,,,376607546.0,FV461 S3D1 m6073-6079,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Lindesnes,,Platebru (210),Bru
497.0,497.0,502,497,,Kulvert ikke hinder. Noe slammete sediment. Ser fisk nedstrøms. ,Nei,0,0,40.0,Mandal ,Nei,"418 758,11","6 440 070,964",497.0,Fin bekk oppstrøms. Kulvert ikke hinder. Ser småfisk ,10.0,250.0,2500.0,20.0,Lav,Middels,Mandal ,0.0,"418 737,972","6 440 082,948",Ikke hinder,Nei,022-758-R,bru,,,022.3C,1013517285,636909739,,,Skagestadvatnet bekkefelt,,,,,1013517285.0,EV39 S123D1 m10734 SD1 m18-24,,,,,2500.0,,,Betong,,,,Enkel bilveg,,Lindesnes,,"Kulvert, plassp (111)",Bru
67.0,67.0,72,77,,"Det dannes en liten terskel Av et mindre rør som krysser bekken nedstrøms, ikke vandringshinder, grei kulvert. Ser mye fisk nedstrøms mot kulvert. ",Nei,0,0,20.0,Kystveien ,Nei,"488 206,392","6 481 476,661",77.0,"Ikke hinder, grei oppstrøms.",25.0,250.0,2500.0,14.0,Middels,Lav,Kystveien ,0.0,"488 207,334","6 481 497,932",Ikke hinder,Nei,019-506-R,0,,,019.121Z,ikke i nvdb,,,,Songebekken,,,,,,,,,,,2500.0,,,,,,,,,,,,
86.0,86.0,91,95,,"Grei nedstrøms, god vannføring, stor kulvert. Ligger lavt i vannet. ",Nei,0,0,50.0,Grimstad ,Nei,"475 509,295","6 466 573,271",95.0,"Bør utbedres, se kommentar! Dumpes noe hageavfall fra grunneier på ene siden, dette er sikkert ok. Men røret som leder rustfarget vann ned i bekken ble sjekes. Ellers ok. ",20.0,250.0,2500.0,20.0,Høy,Middels,Grimstad ,0.0,"475 518,628","6 466 668,593",Ikke hinder,Nei,019-575-R,bekkelukking,,,019.216Z,ikke i nvdb,,,,"Groosfjorden, bekkefelt",,,,,,,,,,,2500.0,,,,,,,,,,,,
184.0,184.0,189,192,,Fint bekkeløp oppstrøms og nedstrøms. Ikke hinder. Plastterskler inni kulvert. ,Nei,0,0,10.0,Mandal ,Nei,"412 604,911","6 437 653,058",192.0,"Kulvert er stor og med terskler invendig, ikke hinder ",25.0,250.0,2500.0,40.0,Middels,Lav,Mandal ,0.0,"412 612,443","6 437 570,083",Ikke hinder,Nei,022-815-R,0,,,022.A3Z,ikke i nvdb,,nær 272300645,,Mandalselva - Øyslebø til Mandal bekkefelt,,,,,,,,,,,2500.0,,,,,,,,,,,,
396.0,396.0,401,398,,"Ikke hinder, relativt ny bru. Men slammete sediment på begge sider. Grei vannføring ",Nei,0,0,40.0,Tvedestrand ,Nei,"493 879,496","6 491 741,034",398.0,Veldig stillestående vann oppstrøms. Et av bekkeløpene er blokkert av sand. ,50.0,250.0,2500.0,10.0,Middels,Lav,Tvedestrand ,0.0,"493 869,994","6 491 753,814",Ikke hinder,Nei,018-27-R,0,,,018.7A0,ikke i nvdb,,nær 84582422,,Langangselva,,,,,,,,,,,2500.0,,,,,,,,,,,,
